wavelength spec_bulge spec_disk spec_clump1 spec_clump2 spec_clump3
1875.0 1.3947591812487946e-06 4.194297414839614e-06 5.142269468899062e-06 8.907982247563391e-06 1.0961353812650592e-05
1885.0 1.242991298566935e-06 3.854404442614015e-06 4.920570064133218e-06 8.279654658979243e-06 1.0311619536682744e-05
1895.0 1.2300215409558662e-06 3.744455968629793e-06 4.752551318386159e-06 7.909736296096457e-06 9.931444479571432e-06
1905.0 1.3908256115684008e-06 4.169737938102943e-06 5.070718674605196e-06 8.751821950130994e-06 1.080100428610345e-05
1915.0 1.3085757616007383e-06 4.025744206314298e-06 4.984623885372706e-06 8.509330795827255e-06 1.0550902688697981e-05
1925.0 1.2965230268828217e-06 4.037497210120342e-06 4.943228144227068e-06 8.474963977446614e-06 1.0530855661172907e-05
1935.0 1.3472317204963159e-06 4.144972490820537e-06 4.965176363439941e-06 8.612719646058116e-06 1.0659873070736144e-05
1945.0 1.4117550287370054e-06 4.2507883240544486e-06 4.959740531253288e-06 8.675756170205503e-06 1.0803744708007595e-05
1955.0 1.245087838276455e-06 3.95336270812488e-06 4.808941605007518e-06 8.272757208379641e-06 1.0373785230573672e-05
1967.0 1.4367611980718127e-06 4.309142228044288e-06 4.920410987076406e-06 8.644264370396326e-06 1.0810269876587159e-05
1976.0 1.4189134766434992e-06 4.325556980017062e-06 4.932073980769839e-06 8.697754370288375e-06 1.0863602745085038e-05
1984.0 1.3785298222106077e-06 4.213182774729543e-06 4.866535009905506e-06 8.510421471455636e-06 1.065635505680789e-05
1995.0 1.3802210217362794e-06 4.201730070987567e-06 4.839140867554004e-06 8.453354604796487e-06 1.0564039967262434e-05
2005.0 1.3572172550809547e-06 4.16858180756537e-06 4.815355640793591e-06 8.403646608741083e-06 1.0529463966615253e-05
2015.0 1.3838920204881792e-06 4.23006194262969e-06 4.838691996389885e-06 8.50051410343707e-06 1.0588791290494374e-05
2025.0 1.3976696899701837e-06 4.30050706277718e-06 4.854692778274469e-06 8.587288390545664e-06 1.0716295096353365e-05
